t,current
0,52
0.05,79
0.1,90
0.15,102
0.2,85
0.25,126
0.3,117
0.35,146
0.4,131
0.45,164
0.5,190
0.55,234
0.6,214
0.65,246
0.7,225
0.75,307
0.8,351
0.85,551
0.9,750
0.95,753
1.0,404
1.05,304
1.1,205
1.15,131
1.2,55
1.25,58
1.3,35
1.35,61
1.4,87
1.45,90
1.5,137
1.55,208
1.6,281
1.65,334
1.7,378
1.75,507
1.8,501
1.85,604
1.9,586
1.95,609
2.0,583
2.05,571
2.1,489
2.15,369
2.2,319
2.25,263
2.3,287
2.35,82
2.4,35
2.45,73
2.5,43
2.55,43
2.6,55
2.65,52
2.7,55
2.75,117
2.8,131
2.85,134
2.9,187
2.95,278
3.0,319
3.05,375
3.1,398
3.15,413
3.2,489
3.25,448
3.3,524
3.35,577
3.4,700
3.45,513
3.5,413
3.55,287
3.6,258
3.65,222
3.7,70
3.75,17
3.8,11
3.85,85
3.9,61
3.95,52
4.0,61
4.05,55
4.1,114
4.15,131
4.2,214
4.25,363
4.3,483
4.35,548
4.4,651
4.45,656
4.5,756
4.55,677
4.6,677
4.65,639
4.7,507
4.75,466
4.8,340
4.85,290
4.9,258
4.95,214
5.0,190
5.05,64
5.1,11
5.15,17
5.2,76
5.25,52
5.3,70
5.35,117
5.4,129
5.45,170
5.5,205
5.55,252
5.6,287
5.65,354
5.7,404
5.75,457
5.8,533
5.85,577
5.9,607
5.95,651
6.0,689
6.05,744
6.1,882
6.15,730
6.2,545
6.25,404
6.3,296
6.35,152
6.4,26
6.45,11
6.5,73
6.55,64
6.6,52
6.65,67
6.7,87
6.75,96
6.8,111
6.85,143
6.9,211
6.95,266
7.0,334
7.05,363
7.1,434
7.15,513
7.2,607
7.25,665
7.3,677
7.35,686
7.4,630
7.45,665
7.5,618
7.55,560
7.6,419
7.65,275
7.7,108
7.75,23
7.8,14
7.85,58
7.9,43
7.95,61
8.0,55
8.05,105
8.1,129
8.15,134
8.2,158
8.25,196
8.3,228
8.35,302
8.4,348
8.45,451
8.5,580
8.55,668
8.6,689
8.65,774
8.7,782
8.75,800
8.8,856
8.85,879
8.9,615
8.95,357
9.0,240
9.05,131
9.1,17
9.15,52
9.2,70
9.25,55
9.3,61
9.35,114
9.4,181
9.45,246
9.5,281
9.55,354
9.6,363
9.65,372
9.7,331
9.75,398
9.8,475
9.85,542
9.9,645
9.95,662
