t,current
0,99
0.05,64
0.1,93
0.15,114
0.2,111
0.25,102
0.3,152
0.35,134
0.4,155
0.45,152
0.5,199
0.55,170
0.6,149
0.65,208
0.7,190
0.75,175
0.8,164
0.85,208
0.9,170
0.95,117
1.0,20
1.05,5
1.1,46
1.15,58
1.2,41
1.25,52
1.3,70
1.35,73
1.4,102
1.45,96
1.5,117
1.55,114
1.6,140
1.65,146
1.7,137
1.75,152
1.8,129
1.85,199
1.9,161
1.95,178
2.0,161
2.05,196
2.1,187
2.15,152
2.2,184
2.25,190
2.3,99
2.35,8
2.4,2
2.45,55
2.5,58
2.55,52
2.6,61
2.65,38
2.7,85
2.75,70
2.8,87
2.85,99
2.9,96
2.95,134
3.0,114
3.05,158
3.1,143
3.15,134
3.2,167
3.25,173
3.3,175
3.35,173
3.4,246
3.45,161
3.5,193
3.55,190
3.6,173
3.65,143
3.7,11
3.75,11
3.8,41
3.85,61
3.9,58
3.95,43
4.0,43
4.05,87
4.1,82
4.15,114
4.2,111
4.25,129
4.3,129
4.35,140
4.4,131
4.45,134
4.5,158
4.55,181
4.6,158
4.65,184
4.7,173
4.75,146
4.8,184
4.85,161
4.9,181
4.95,175
5.0,173
5.05,20
5.1,11
5.15,43
5.2,58
5.25,52
5.3,46
5.35,52
5.4,82
5.45,73
5.5,102
5.55,105
5.6,120
5.65,99
5.7,152
5.75,140
5.8,167
5.85,134
5.9,170
5.95,170
6.0,205
6.05,187
6.1,190
6.15,170
6.2,178
6.25,196
6.3,187
6.35,167
6.4,23
6.45,11
6.5,43
6.55,82
6.6,41
6.65,58
6.7,49
6.75,76
6.8,82
6.85,102
6.9,120
6.95,126
7.0,123
7.05,146
7.1,123
7.15,175
7.2,143
7.25,184
7.3,175
7.35,175
7.4,167
7.45,208
7.5,178
7.55,170
7.6,175
7.65,164
7.7,146
7.75,11
7.8,5
7.85,41
7.9,82
7.95,46
8.0,46
8.05,43
8.1,73
8.15,93
8.2,99
8.25,99
8.3,96
8.35,126
8.4,123
8.45,146
8.5,134
8.55,143
8.6,158
8.65,164
8.7,175
8.75,202
8.8,202
8.85,175
8.9,202
8.95,167
9.0,202
9.05,167
9.1,29
9.15,23
9.2,32
9.25,67
9.3,73
9.35,52
9.4,49
9.45,87
9.5,96
9.55,85
9.6,99
9.65,129
9.7,134
9.75,129
9.8,149
9.85,140
9.9,149
9.95,164
