current,position,velocity,time
114,2273,6667,-0.0156
105,1855,7267,-0.0785
237,1401,7866,-0.141
152,911,8465,-0.2035
140,385,9065,-0.2653
190,-177,9664,-0.3285
173,-775,10264,-0.3909
190,-1408,11063,-0.4534
187,-2309,11662,-0.5152
190,-3027,12262,-0.5777
205,-3781,12861,-0.6409
214,-4500,0,-0.7034
175,-4483,599,-0.7656
11,-4429,1198,-0.828
5,-4339,1798,-0.8901
52,-4213,2597,-0.9533
43,-3989,3196,-1.0151
58,-3779,3796,-1.0783
46,-3533,4395,-1.1408
73,-3252,4995,-1.2033
105,-2934,5594,-1.2651
120,-2580,6193,-1.3282
105,-2191,6793,-1.3907
129,-1765,7592,-1.4532
131,-1142,8191,-1.515
149,-632,8791,-1.5782
131,-87,9390,-1.6406
202,495,9990,-1.7031
187,1112,10589,-1.765
184,1765,11188,-1.8281
234,2455,11788,-1.8906
219,3180,12387,-1.9531
231,3941,13186,-2.0149
217,4498,199,-2.0781
196,4468,799,-2.1405
11,4402,1398,-2.203
41,4300,1998,-2.2648
79,4162,2597,-2.328
43,3988,3196,-2.3905
52,3778,3996,-2.453
79,3443,4595,-2.5148
85,3149,5194,-2.5779
93,2819,5794,-2.6404
131,2454,6393,-2.7029
117,2052,6993,-2.7647
129,1614,7592,-2.8279
140,1141,8191,-2.8903
164,631,8991,-2.9529
187,86,9590,-3.0147
170,-697,10189,-3.0778
167,-1327,10789,-3.1403
196,-1992,11388,-3.2028
199,-2693,11988,-3.2646
196,-3431,12587,-3.3278
228,-4204,13186,-3.3902
193,-4499,199,-3.4527
14,-4469,999,-3.5146
14,-4373,1598,-3.5777
14,-4259,2197,-3.6402
49,-4109,2797,-3.7027
43,-3923,3396,-3.7645
55,-3701,3996,-3.8276
67,-3444,4595,-3.8901
87,-3150,5194,-3.9526
93,-2820,5994,-4.0145
87,-2325,6593,-4.0776
137,-1911,7192,-4.1401
143,-1462,7792,-4.2026
120,-976,8391,-4.2644
167,-455,8991,-4.3275
167,103,9590,-4.39
184,696,10189,-4.4525
196,1326,10989,-4.5144
214,2221,11588,-4.5775
202,2934,12187,-4.6399
225,3683,12787,-4.7024
217,4469,13386,-4.7644
249,4492,399,-4.8274
43,4450,999,-4.8899
14,4372,1598,-4.9524
67,4212,2397,-5.0144
46,4050,2997,-5.0774
58,3852,3596,-5.1398
52,3618,4195,-5.2023
96,3349,4795,-5.2644
117,3043,5394,-5.3273
108,2701,5994,-5.3898
111,2324,6593,-5.4523
143,1910,7392,-5.5143
131,1303,7992,-5.5772
152,805,8591,-5.6397
155,272,9190,-5.7022
175,-298,9790,-5.7642
155,-903,10389,-5.8272
161,-1544,10989,-5.8896
175,-2222,11588,-5.9521
217,-2935,12387,-6.0142
211,-3942,12987,-6.0771
214,-4500,199,-6.1546
76,-4469,799,-6.2177
8,-4403,1398,-6.2802
23,-4301,1998,-6.3427
55,-4163,2597,-6.4052
49,-3989,3196,-6.4676
70,-3779,3796,-6.5301
38,-3533,4395,-6.5926
108,-3150,5194,-6.6551
93,-2820,5794,-6.7176
108,-2455,6393,-6.7801
99,-2053,6993,-6.8426
146,-1615,7592,-6.9051
120,-1142,8191,-6.9675
146,-632,8791,-7.03
164,-87,9390,-7.0925
164,495,10189,-7.155
181,1326,10789,-7.2174
184,1991,11388,-7.2799
219,2692,11988,-7.3425
237,3430,12587,-7.4049
217,4203,13186,-7.4674
243,4498,199,-7.5299
117,4468,799,-7.5924
14,4402,1598,-7.6549
58,4258,2197,-7.7173
64,4108,2797,-7.7798
49,3922,3396,-7.8423
52,3700,3996,-7.9048
96,3443,4595,-7.9672
105,3149,5194,-8.0296
90,2819,5794,-8.0923
129,2454,6593,-8.1548
134,1910,7192,-8.2171
126,1461,7792,-8.2797
143,975,8391,-8.3422
143,454,8991,-8.4047
175,-104,9590,-8.4671
158,-697,10189,-8.5297
184,-1327,10789,-8.5921
190,-1992,11588,-8.6546
217,-2935,12187,-8.717
199,-3684,12787,-8.7796
211,-4470,13386,-8.8421
170,-4493,399,-8.9046
8,-4451,999,-8.967
5,-4373,1598,-9.0296
35,-4259,2197,-9.092
52,-4109,2997,-9.1545
55,-3853,3596,-9.2169
52,-3619,4195,-9.2795
70,-3350,4795,-9.342
102,-3044,5394,-9.4045
99,-2702,5994,-9.4668
96,-2325,6593,-9.5294
