t,current,position,velocity,time
0,20,-4408,1375,-0.005
0.05,26,-4345,1775,-0.0594
0.1,64,-4220,2374,-0.1142
0.15,46,-4060,2974,-0.1689
0.2,43,-3933,3573,-0.2234
0.25,58,-3713,3973,-0.2784
0.3,43,-3456,4572,-0.3329
0.35,85,-3164,5171,-0.3875
0.4,90,-2949,5571,-0.4426
0.45,96,-2597,6170,-0.4985
0.5,134,-2209,6770,-0.5536
0.55,108,-1784,7369,-0.6079
0.6,143,-1482,7769,-0.6634
0.65,134,-997,8368,-0.7183
0.7,170,-477,8968,-0.7735
0.75,152,79,9567,-0.8273
0.8,190,469,9967,-0.8828
0.85,178,1085,10566,-0.9376
0.9,193,1737,11165,-0.9921
0.95,211,2425,11765,-1.0466
1.0,205,2904,12164,-1.1018
1.05,214,3652,12764,-1.156
1.1,222,4436,13363,-1.2101
1.15,255,4498,399,-1.2642
1.2,73,4468,799,-1.3191
1.25,23,4402,1398,-1.3741
1.3,14,4300,1998,-1.4287
1.35,70,4212,2397,-1.4826
1.4,67,4050,2997,-1.5375
1.45,64,3852,3596,-1.5916
1.5,55,3618,4195,-1.646
1.55,90,3443,4595,-1.7001
1.6,108,3149,5194,-1.7547
1.65,85,2819,5794,-1.8085
1.7,123,2579,6393,-1.8632
1.75,99,2190,6793,-1.9174
1.8,140,1764,7392,-1.9735
1.85,152,1303,7992,-2.0273
1.9,164,975,8391,-2.0812
1.95,155,454,8991,-2.135
2.0,173,-104,9590,-2.1912
2.05,196,-697,10189,-2.2459
2.1,149,-1113,10589,-2.3002
2.15,208,-1766,11188,-2.3544
2.2,187,-2456,11788,-2.4095
2.25,211,-2935,12387,-2.4642
2.3,222,-3684,12787,-2.5183
2.35,222,-4470,13386,-2.5723
2.4,205,-4493,399,-2.6281
2.45,114,-4469,799,-2.6828
2.5,2,-4403,1398,-2.7373
2.55,58,-4301,1998,-2.7912
2.6,67,-4163,2597,-2.8451
2.65,49,-4051,2997,-2.8996
2.7,61,-3853,3596,-2.9538
2.75,41,-3619,4195,-3.0079
2.8,90,-3444,4595,-3.0616
2.85,85,-3150,5194,-3.1168
2.9,90,-2820,5794,-3.1724
2.95,99,-2455,6393,-3.2262
3.0,108,-2191,6793,-3.28
3.05,129,-1765,7392,-3.3353
3.1,146,-1304,7992,-3.3892
3.15,140,-976,8391,-3.4432
3.2,137,-455,8991,-3.4974
3.25,190,103,9590,-3.5524
3.3,149,696,10189,-3.607
3.35,219,1112,10589,-3.6624
3.4,170,1765,11188,-3.7168
3.45,249,2455,11788,-3.7721
