t,current,position,velocity,time
0,49,-3947,3335,-0.0202
0.05,52,-3805,3735,-0.0761
0.1,67,-3563,4334,-0.1316
0.15,76,-3285,4933,-0.1855
0.2,105,-2971,5533,-0.2398
0.25,96,-2742,5932,-0.2933
0.3,111,-2368,6532,-0.3481
0.35,120,-1958,7131,-0.4022
0.4,134,-1665,7531,-0.456
0.45,126,-1195,8130,-0.5122
0.5,161,-689,8730,-0.5667
0.55,134,-147,9329,-0.6205
0.6,161,234,9729,-0.675
0.65,152,836,10328,-0.7291
0.7,193,1473,10927,-0.784
0.75,222,2147,11527,-0.8388
0.8,181,2616,11926,-0.8953
0.85,214,3350,12526,-0.9511
0.9,202,4119,13125,-1.0052
0.95,240,4498,199,-1.0597
1.0,164,4482,799,-1.1174
1.05,23,4428,1198,-1.1723
1.1,8,4338,1798,-1.2273
1.15,58,4212,2397,-1.2823
1.2,43,4108,2797,-1.3364
1.25,55,3922,3396,-1.3907
1.3,52,3700,3996,-1.4466
1.35,82,3443,4595,-1.5013
1.4,117,3251,4995,-1.5561
1.45,96,2933,5594,-1.6109
1.5,105,2579,6193,-1.6659
1.55,111,2190,6793,-1.7209
1.6,134,1910,7192,-1.7752
1.65,126,1461,7792,-1.8296
1.7,140,975,8391,-1.8843
1.75,184,631,8991,-1.9385
1.8,184,86,9390,-1.9936
1.85,234,-495,9990,-2.0484
1.9,228,-1113,10589,-2.1039
1.95,249,-1766,11188,-2.1585
2.0,240,-2222,11588,-2.2142
2.05,325,-2935,12187,-2.2691
2.1,316,-3684,12787,-2.3244
2.15,375,-4470,13386,-2.3794
2.2,340,-4499,199,-2.4338
2.25,52,-4469,799,-2.4885
2.3,76,-4403,1398,-2.5441
2.35,102,-4301,1998,-2.5984
2.4,17,-4213,2397,-2.6526
2.45,38,-4051,2997,-2.7077
2.5,32,-3853,3596,-2.7637
2.55,55,-3701,4195,-2.8174
2.6,32,-3444,4595,-2.8728
2.65,58,-3150,5194,-2.9268
2.7,73,-2820,5794,-2.9818
2.75,90,-2580,6193,-3.0356
2.8,108,-2191,6793,-3.09
2.85,140,-1765,7392,-3.1447
2.9,140,-1462,7992,-3.1987
2.95,161,-976,8391,-3.2545
3.0,158,-455,8991,-3.3102
3.05,190,103,9590,-3.3652
3.1,184,696,10189,-3.4195
3.15,255,1112,10589,-3.4743
3.2,281,1765,11188,-3.5286
3.25,398,2455,11788,-3.5827
3.3,595,2934,12387,-3.6374
3.35,580,3683,12787,-3.6924
3.4,712,4469,13386,-3.7471
3.45,697,4492,399,-3.8009
3.5,337,4468,799,-3.8564
3.55,337,4402,1398,-3.9111
3.6,281,4300,1998,-3.9662
3.65,134,4162,2597,-4.0213
3.7,58,4050,2997,-4.0759
3.75,35,3852,3596,-4.1321
3.8,61,3618,4195,-4.1871
3.85,93,3349,4795,-4.2409
3.9,93,3149,5194,-4.2954
3.95,111,2819,5794,-4.3512
4.0,129,2454,6393,-4.4051
4.05,161,2052,6993,-4.4603
4.1,187,1764,7392,-4.5145
4.15,205,1303,7992,-4.5683
4.2,240,805,8591,-4.6225
4.25,316,454,8991,-4.6767
4.3,346,-104,9590,-4.7309
4.35,510,-697,10189,-4.7856
4.4,653,-1327,10789,-4.8414
4.45,683,-1766,11188,-4.8957
4.5,809,-2456,11788,-4.9502
4.55,897,-3181,12387,-5.0047
4.6,973,-3942,12987,-5.0595
4.65,961,-4470,13386,-5.1151
4.7,961,-4493,399,-5.1701
4.75,662,-4451,999,-5.2253
4.8,202,-4373,1598,-5.2799
4.85,49,-4301,1998,-5.3353
4.9,55,-4163,2597,-5.39
4.95,49,-3989,3196,-5.4462
5.0,46,-3779,3796,-5.5009
5.05,79,-3619,4195,-5.5552
5.1,73,-3350,4795,-5.6097
5.15,96,-3044,5394,-5.6641
5.2,76,-2702,5994,-5.7183
5.25,129,-2455,6393,-5.7731
5.3,111,-2053,6993,-5.8284
5.35,117,-1615,7592,-5.8827
5.4,131,-1304,8191,-5.9379
5.45,140,-806,8591,-5.992
5.5,170,-273,9190,-6.0475
5.55,164,297,9790,-6.1026
5.6,178,696,10189,-6.1568
5.65,181,1326,10789,-6.2114
5.7,252,1991,11388,-6.2663
5.75,310,2692,11988,-6.3204
5.8,489,3180,12387,-6.3741
5.85,656,3941,12987,-6.429
5.9,979,4500,0,-6.4836
5.95,879,4492,599,-6.5376
6.0,404,4450,999,-6.5931
6.05,340,4372,1598,-6.6475
6.1,249,4258,2197,-6.7025
6.15,111,4162,2597,-6.7564
6.2,26,3988,3196,-6.8112
6.25,85,3778,3796,-6.866
6.3,76,3532,4395,-6.9198
6.35,76,3349,4795,-6.9751
6.4,93,3043,5394,-7.0299
6.45,102,2701,5994,-7.0846
6.5,123,2324,6593,-7.1401
6.55,114,2052,6993,-7.1949
6.6,158,1614,7592,-7.2488
6.65,155,1141,8191,-7.3032
6.7,190,805,8791,-7.3575
6.75,222,272,9190,-7.4123
6.8,381,-298,9790,-7.4676
6.85,460,-903,10389,-7.5214
6.9,648,-1327,10789,-7.5762
6.95,806,-1992,11388,-7.6307
7.0,1064,-2693,11988,-7.6852
7.05,1211,-3431,12587,-7.7406
7.1,1184,-3942,12987,-7.795
7.15,1090,-4500,0,-7.8489
7.2,920,-4483,599,-7.9034
7.25,401,-4451,1198,-7.9579
7.3,52,-4373,1598,-8.0122
7.35,26,-4259,2197,-8.0669
7.4,67,-4109,2797,-8.1215
7.45,38,-3989,3196,-8.1764
7.5,55,-3779,3796,-8.2303
7.55,67,-3533,4395,-8.2866
7.6,76,-3252,4995,-8.3404
7.65,90,-3044,5394,-8.3956
7.7,87,-2702,5994,-8.4504
7.75,85,-2325,6593,-8.5049
7.8,137,-1911,7192,-8.5587
7.85,108,-1615,7592,-8.6129
7.9,131,-1142,8191,-8.667
7.95,140,-632,8791,-8.7228
8.0,155,-273,9190,-8.7766
8.05,161,297,9790,-8.8317
8.1,240,902,10389,-8.8862
8.15,366,1543,10989,-8.9402
8.2,495,1991,11388,-8.9939
8.25,607,2692,11988,-9.0479
8.3,692,3430,12587,-9.102
8.35,797,3941,12987,-9.1557
