t,current,position,velocity,time
0,167,1092,9999,-0.0099
0.05,211,1500,10399,-0.0639
0.1,190,2142,10998,-0.1195
0.15,190,2820,11598,-0.1736
0.2,222,3534,12197,-0.2283
0.25,219,4030,12597,-0.2821
0.3,211,4498,199,-0.3362
0.35,167,4468,799,-0.3903
0.4,17,4428,1198,-0.4441
0.45,8,4338,1798,-0.4991
0.5,58,4212,2397,-0.553
0.55,49,4050,2997,-0.6085
0.6,73,3922,3396,-0.6627
0.65,46,3700,3996,-0.7177
0.7,111,3443,4595,-0.7723
0.75,96,3251,4995,-0.8264
0.8,108,2933,5594,-0.8811
0.85,117,2579,6193,-0.9351
0.9,108,2190,6793,-0.9899
0.95,129,1910,7192,-1.0439
1.0,129,1461,7792,-1.0985
1.05,137,975,8391,-1.155
1.1,155,454,8991,-1.2088
1.15,187,86,9390,-1.2628
1.2,178,-495,9990,-1.3174
1.25,178,-1113,10589,-1.3712
1.3,161,-1544,10989,-1.426
1.35,205,-2222,11588,-1.4804
1.4,205,-2935,12187,-1.5355
1.45,211,-3684,12787,-1.5894
1.5,196,-4204,13186,-1.6436
1.55,184,-4499,199,-1.6975
1.6,167,-4469,799,-1.7528
1.65,5,-4429,1198,-1.8066
1.7,38,-4339,1798,-1.8612
1.75,55,-4213,2397,-1.9153
1.8,41,-4051,2997,-1.9708
1.85,52,-3923,3396,-2.0258
1.9,67,-3701,3996,-2.0796
1.95,70,-3444,4595,-2.1337
2.0,87,-3252,5194,-2.1875
2.05,87,-2934,5594,-2.2429
2.1,99,-2580,6193,-2.2968
2.15,93,-2191,6793,-2.3513
2.2,117,-1911,7192,-2.4054
2.25,117,-1462,7792,-2.4597
2.3,143,-976,8391,-2.5142
2.35,155,-632,8991,-2.5681
2.4,155,-87,9390,-2.6227
2.45,167,495,9990,-2.6772
2.5,202,1112,10589,-2.733
2.55,184,1543,11188,-2.7872
2.6,199,2221,11588,-2.8421
2.65,217,2934,12187,-2.8966
2.7,214,3683,12787,-2.9518
2.75,222,4203,13186,-3.0068
2.8,196,4498,199,-3.0613
2.85,23,4468,799,-3.116
2.9,11,4402,1398,-3.1707
2.95,26,4338,1798,-3.2252
3.0,82,4212,2397,-3.2797
3.05,55,4050,2997,-3.3349
3.1,70,3852,3596,-3.3889
3.15,49,3700,3996,-3.4438
3.2,76,3443,4595,-3.4987
3.25,82,3149,5194,-3.5542
3.3,105,2819,5794,-3.6092
3.35,117,2579,6193,-3.664
3.4,131,2190,6793,-3.718
3.45,117,1764,7392,-3.7718
3.5,143,1461,7792,-3.8261
3.55,152,975,8391,-3.8812
3.6,140,454,8991,-3.9359
3.65,184,-104,9590,-3.99
3.7,164,-495,9990,-4.0454
3.75,175,-1113,10589,-4.0996
3.8,196,-1766,11188,-4.1538
3.85,217,-2222,11788,-4.2078
3.9,202,-2935,12187,-4.2631
3.95,199,-3684,12787,-4.3177
4.0,219,-4470,13386,-4.3718
4.05,214,-4499,199,-4.4256
4.1,26,-4469,799,-4.4801
4.15,8,-4403,1398,-4.5343
4.2,5,-4301,1998,-4.59
4.25,61,-4213,2397,-4.6445
4.3,58,-4051,2997,-4.6988
4.35,55,-3853,3596,-4.7531
4.4,52,-3701,4195,-4.8071
4.45,85,-3444,4595,-4.8616
4.5,93,-3150,5194,-4.9176
4.55,93,-2820,5794,-4.9731
4.6,99,-2580,6393,-5.0274
4.65,129,-2191,6793,-5.0824
4.7,126,-1765,7392,-5.1379
4.75,143,-1304,7992,-5.1927
4.8,126,-976,8591,-5.2477
4.85,155,-455,8991,-5.3019
4.9,164,103,9590,-5.356
4.95,164,696,10189,-5.4116
5.0,190,1112,10589,-5.4657
5.05,196,1765,11188,-5.5206
5.1,202,2455,11788,-5.5752
5.15,193,3180,12387,-5.6301
5.2,196,3683,12787,-5.685
5.25,228,4469,13386,-5.7395
5.3,219,4492,399,-5.7935
5.35,85,4468,999,-5.8475
5.4,5,4402,1398,-5.9016
5.45,17,4300,1998,-5.9556
5.5,52,4162,2597,-6.0118
5.55,61,4050,2997,-6.0664
5.6,61,3852,3596,-6.1203
5.65,82,3618,4195,-6.1747
5.7,82,3349,4795,-6.2294
5.75,117,3149,5194,-6.2844
5.8,102,2819,5794,-6.3401
5.85,126,2454,6393,-6.3948
5.9,129,2052,6993,-6.45
5.95,131,1764,7392,-6.5054
6.0,146,1303,7992,-6.5599
6.05,146,805,8591,-6.6138
6.1,158,454,9190,-6.6677
6.15,193,-104,9590,-6.7224
6.2,173,-697,10189,-6.7772
6.25,161,-1327,10789,-6.8317
6.3,196,-1766,11188,-6.8868
6.35,228,-2456,11788,-6.9421
