t,current,position,velocity,chip_temp
0,85,3390,4707,27.7
0.05,82,3194,5107,28.5
0.1,140,2870,5706,28.1
0.15,108,2509,6305,28.5
0.2,102,2113,6905,28.5
0.25,120,1681,7504,27.7
0.3,149,1372,7904,28.1
0.35,146,880,8503,29.2
0.4,155,352,9103,28.5
0.45,173,-212,9702,27.3
0.5,175,-812,10301,29.6
0.55,181,-1448,10901,28.8
0.6,158,-1892,11500,27.0
0.65,199,-2588,11900,28.8
0.7,190,-3320,12499,27.7
0.75,219,-4088,13099,28.5
0.8,199,-4499,199,27.3
0.85,161,-4469,799,28.1
0.9,8,-4429,1198,28.1
0.95,20,-4339,1798,28.1
1.0,32,-4213,2397,27.7
1.05,49,-4051,2997,28.5
1.1,55,-3853,3596,27.3
1.15,61,-3701,3996,27.7
1.2,82,-3444,4595,28.8
1.25,79,-3150,5194,27.3
1.3,85,-2820,5794,28.1
1.35,90,-2455,6393,28.1
1.4,114,-2191,6793,27.7
1.45,123,-1765,7392,27.7
1.5,146,-1304,7992,27.7
1.55,140,-806,8591,28.5
1.6,140,-455,8991,28.1
1.65,173,103,9590,27.7
1.7,178,696,10189,28.1
1.75,190,1326,10789,27.7
1.8,187,1765,11188,28.8
1.85,237,2455,11788,29.6
1.9,167,3180,12387,28.1
1.95,217,3941,12987,27.3
2.0,214,4469,13386,27.7
2.05,170,4492,399,28.8
2.1,14,4450,999,27.7
2.15,8,4372,1598,28.5
2.2,70,4258,2197,27.0
2.25,55,4108,2797,28.8
2.3,35,3988,3396,28.5
2.35,90,3778,3796,27.0
2.4,79,3532,4395,28.8
2.45,90,3251,4995,28.1
2.5,96,2933,5594,28.5
2.55,102,2579,6193,28.1
2.6,108,2190,6793,27.7
2.65,123,1910,7192,28.8
2.7,152,1461,7792,28.8
2.75,140,975,8391,29.2
2.8,149,454,8991,28.8
2.85,161,-104,9590,28.8
2.9,167,-495,9990,28.1
2.95,181,-1113,10589,28.8
3.0,164,-1766,11188,28.5
3.05,202,-2456,11788,28.8
3.1,190,-3181,12387,28.5
3.15,208,-3684,12987,27.7
3.2,199,-4470,13386,28.8
3.25,184,-4493,399,28.5
3.3,8,-4451,999,28.8
3.35,11,-4373,1598,28.1
3.4,35,-4259,2197,27.3
3.45,55,-4163,2797,28.8
3.5,43,-3989,3196,28.1
3.55,55,-3779,3796,28.1
3.6,70,-3533,4395,28.8
3.65,79,-3252,4995,28.1
3.7,87,-3044,5594,30.0
3.75,85,-2702,5994,29.2
3.8,102,-2325,6593,28.5
3.85,120,-1911,7192,28.1
3.9,134,-1462,7792,30.0
3.95,143,-976,8391,27.7
4.0,161,-632,8991,28.1
4.05,170,-87,9390,27.7
4.1,161,495,9990,27.7
4.15,190,1112,10589,28.8
